PREFIX,COUNTRY,CQ-ZONE,ITU-ZONE
A2,Botswana,38,57
A3,Tonga Isl.,32,62
A4,Oman & Muscat,21,39
A5,Bhutan,22,41
A6,United Arab.Emirates,21,39
A7,Qatar,21,39
A9,Bahrain,21,39
AP t.m. AS,Pakistan,21,41
BS7,Scarborough Reef,27,50
BV,Taiwan,24,44
BV9P,Pratas,24,44
BX t.m. BZ,China,2324,424344
C2,Rep.of Nauru,31,65
C3,Andorra,14,27
C5,Gambia,35,46
C6,Bahamas,08,11
C9,Mozambique,37,53
CE,Chili,12,141516
"CE9, KC4",Antarctica,13,73
CEo,Easter Isl. (Paaseiland),12,63
CEo,San Felix Isl.,12,14
CEo,Juan Fernandez Isl.,12,14
"CM,CO",Cuba,08,11
CN,Morocco,33,37
CP,Bolivia,12,121314
CT,Portugal,14,37
CT3,Madeira Isl.,33,36
CU,Azores Isl.,14,36
CV-CX,Uruguay,13,14
CYo,Sable Isl.,05,09
CY9,St.Paul Isl.,05,09
"D2, D3",Angola,36,52
D4,Rep.of Cape Verde (Kaap Verdische),35,46
D6,Comoros,39,53
DA t.m. DM & Y,Germany (Duitsland),14,28
"DU, DZ",Philippines,27,50
E3,Erythrea,37,48
E4,Palestina,20,39
EA t.m. EH,Spain (Spanje),14,37
EA6 t.m. EH6,"Balearic Isl. (Mallorca, Ibiza, Menorca)",14,37
EA8 t.m. EH8,Canary Isl.,33,36
EA9 t.m. EH9,Ceuta & Melilla,33,37
"EI, EJ",Ireland,14,27
EK,Armenia,21,29
EL,Liberia,35,46
"EP, EQ",Iran,21,40
ER,Moldova,16,29
ES,Estonia (Estland),15,29
ET,Ethiopia,37,48
"EU, EV, EW",Belarus,16,29
EX,Kyrgystan,17,"30, 31"
EY,Tajikistan,17,30
EZ,Turkmenistan,17,30
FA t.m. FF & TM,France,14,27
FG,Guadeloupe,08,11
FH,Mayotte,39,53
"FJ, FS",French St. Martin,08,11
FK,New Caledonia,32,56
FM,Martinique,08,11
